Event Tweets,Label
[CLS] lmfaowhy do we need it more lockdown [SEP] i look like runtown [SEP] no whine me ooo make me sef panic buy na  [SEP] ask sinzu  [SEP] no be so ooooo  [SEP] na  put us for call waiting and just disappear [SEP] danny boy answer your name [SEP] im here browarris going on [SEP] wheres our giveaway we need it now than before [SEP] i know say you no need am people in need not for jacuzzis [SEP] guuyyy stop this thing na  [SEP] yes na  pity boys [SEP] spending you dey mad ni wire me money jhur [SEP] lol  abeg help me tell am [SEP] ,nonrumour
[CLS] i hate to ask questions im sure i can search the info for someplace but asking here and getting an answer feels less automatized what do you do with the results of these prompts that you post about i mean theres a large system obviously but best case scenario [SEP] any writers still up got a prompt for you take a look at the scene in this photoit feels eerie even emotional even though there arent any people in it now see if you can tell the story of this scene in exactly 6 words [SEP] i still postrespond not already knowing the answer but i felt like asking for your perspective as clarification as the creator of this awesome system youve built [SEP] ,nonrumour
[CLS] the question everyone one should be asking wherearetheserologytestresults [SEP] antibody tests  i believe they arent showing these test results because it would prove that the morality rate for covid is less than that the flu [SEP] ,nonrumour
[CLS] who covid19 virus can be transmitted in areas with hot and humid climates [SEP] gusto ko kasi idissect kasi yung mga headliners automatic na inaassume agad na tama yung paper as scientists ang usual sagot natin kasi is its complicated ahahaha [SEP] based on an online consultation lol bakit gising pa kami with a statistician friend a results are statistically significant but weakly correlated b paper is more valuable for its inference but not by its predictive power c we still need to consult an epidemiologist [SEP] its complicated for short [SEP] aka hindi tayo dapat maging kampante sa pagpasok ng dryseason  ibig sabihin ng weakly correlated hindi siya bastabasta maaaring gamiting pangpredict ng posibleng transmission rates ilang araw nang mainit sa pilipinas pero sunudsunod pa rin ang pagdagdag sa mga kaso [SEP] from an epidemiologist salamat po [SEP] ,nonrumour
[CLS] toddler 4 more injured at coronavirus party shooting in philadelphia [SEP] a party that people gather at to defy the quarantine because they dont think its a threat [SEP] ,nonrumour
[CLS] newcrownvirus  5 un what is a coronavirus  which resembles a crown   or in latin corona [SEP] newcrownvirus   3 the president  no we have our deal with china  theyre going to be buying 250 billion worth of goods and 50 billion from our farmers  and thats a great deal for our country we all know where it came from  [SEP] ,nonrumour
[CLS] reports missing afghan soldiers found trying to cross into canada source says     fixes typo [SEP] rt  reports missing afghan soldiers found trying to cross into canada source says  [SEP] if you see something say something too [SEP] damn even they wanted out of the country [SEP] oh cest la saint slip  rt  reports missing afghan soldiers found trying to cross into canada source says [SEP] lol [SEP] makes me wonder if they are part of a plan to build a terrorist group in north america [SEP] hockey season does that [SEP]  reports missing afghan soldiers found trying to cross into canada source says   wow [SEP] will be intresting to see why they tool off [SEP] ,nonrumour
[CLS] hot pockets recall involves meat from place fda says processed diseased and unsound animals [SEP] ewwwwwwwwww [SEP]  hot pockets recall involves meat fda say processed diseased and unsound animals [SEP]  your comments   diseasedhotpockets [SEP] when you report news about  food that the people should be aware of  this is help for all of us  thank you [SEP] idc idc [SEP] shit  hot pockets recall involves meat from place fda says processed  [SEP] ohnvm disregard my last tweet [SEP]  hot pockets recall involves meat from place fda says processed diseased and unsound animals  great [SEP] thats real cute i just ate one for lunch  [SEP]   hot pockets fda says processed diseased and unsound animals [SEP] attention all thots rt  hot pockets recall involves meat from place fda says processed diseased and unsound animals [SEP] omggtgtgt  have you seen thisi fear for your safety oo [SEP] be careful with your hot pocket  [SEP] seriously the day my mom buys me two boxes of scrumptious hotpockets theres a recall justmyluck [SEP] ,nonrumour
[CLS] q are antibiotics effective in preventing and treating the new coronavirus 2019ncov a no antibiotics do not work against viruses only bacteria the 2019nc0v is a virus and therefore antibiotics should  not be used as a means of prevention or treatment [SEP] q does the new coronavirus 2019nc0v affect older people or are younger people also susceptible a people of all ages can be infected by the virus older people amp those with preexisting medical conditions appear to be more vulnerable to becoming severely ill with the virus [SEP] q can pets at home spread the new coronavirus 2019ncov a at present there is no evidence that companion animalspets such as dogs cats can be infected with the virus however it is always a good idea to wash your hands with soap and water after contact with pets [SEP] q are there any specific medicines to prevent or treat the new coronavirus 2019ncov a to date there is no specific medicine recommended to prevent or treat the virus who is helping to accelerate research and development efforts with a range of partners [SEP] q do vaccines against pneumonia protect you against 2019ncov a no vaccines against pneumonia do not provide protection against 2019ncov the virus is new and different it needs its own vaccine knowthefacts [SEP] q is it safe to receive a letter or a package from china a yes it is safe people receiving packages from china are not at risk of contracting 2019ncov from previous analysis we know coronaviruses do not survive long on objects such as letters or packages knowthefacts [SEP] q does putting on or eating sesame oil block the 2019nc0v from entering the body a no sesame oil is delicious but it does not kill 2019ncov knowthefacts [SEP] q can eating garlic help prevent infection with 2019ncov a garlic is a healthy food that may have some antimicrobial properties however there is no evidence from the current outbreak that eating garlic has protected people from 2019ncov knowthefacts [SEP] q can gargling mouthwash protect you from infection with the 2019ncov a no there is no evidence that using mouthwash will protect you from infection with the new coronavirus knowyourfacts [SEP] you are right but for some people they dont know this [SEP] hmmmm then what should people try [SEP] hi thanks for your question there is currently no specific treatment for disease caused by the new coronavirus 2019ncov for more information on prevention please follow this twitter thread [SEP] hello thread the whole thread from  is compiled now read it here  coronavirus 2019ncov knowthefacts [SEP] why arent the specific planes being grounded wont the aircrafts become carriers any idea how long its alive on a hard surface what should compromised immune system individuals do differently we all need precautions this is scary [SEP] however antibiotics can help the infections caused by the virus like pneumonia be complete with the statements [SEP] it says that at the beginning antibiotic treating for coinfection cheers [SEP] this statement should become viral [SEP] its possible to have the flu and the coronavirus at the same time [SEP] there are many types of diseases that make our immune system weaker i dont know if this virus makes the same but if so this is possible [SEP] question here once infection starts does a virus attenuate other than mutation to a point as it is spread from person to person and not increase in potency as sort of a general rule of the virus world [SEP] this virüs is a global level dangerous we should be also wear mask  [SEP] greetings from china are surgical masks effective protection and how to use them properly which side goes where [SEP] please name this virus constant confusion about the fact that coronavirues are a group of viruses and not just one  even if you put novel in front of it the masses arent getting it [SEP] to simplify it antibiotics cannot kill viruses because viruses have a different composition and composition and multiply differently from bacteria antibiotics work by targeting the mechanisms of bacterial growth not viruses to kill or kill specific bacteria [SEP] during sarscov epidemic chloroquine was found effective [SEP] it is very necessary then to take precautions irrespective of the country of resident people move let each countries strengthen her health system capacity building and preparedness for emergency response [SEP] happy to see that in china and the entire countries  [SEP] hey  dont steal my jokes [SEP] must telecast in all news channels all over the universein all languages protection thur awareness in all verticals [SEP] can temperature have an effect  any information on the mortality rate  any information on the reproduction rate  [SEP] broad spectrum antiviral like acyclovir might be working [SEP] i wish every household in subsaharan africa is privileged to know this fact [SEP] your tweet was quoted in an article by [SEP] thanks for notification try  for remedy  coronavirus coronaoutbreak [SEP] then what [SEP] how long can this new virus stay contagious on a hard surface [SEP] drugs try arvinactivation methods try uvc and ozone under 25c the details is in my twitter [SEP] is it possible that these viruses evolves because of antibiotic misuse and overuse [SEP] new corona here after hiv jika ebola [SEP] theres no treatment for this viral infection but you can at least treat the clinical signs and specially the fever [SEP] thx for the intels [SEP] lets stop eating carp [SEP] coronavirus  as at 1142 pm 31st jan 2020 china   9823 cases 15238 suspected 213 deaths 232 recovered other countries thailand 19 cases japan 17 cases singapore 16 cases korea 11cases [SEP] इस तरह स लग म जगरकत अभयन चलय जन चहए worldwide तक लइलज बमरय स बचव कय ज सक [SEP] es de cajón los médicos no paran de repetirlo los antibióticos no valen para los virus  [SEP] we are currently running out of mask can you give us guidelines when to wear the surgical mask [SEP] who should concern tibet and mongolia also as china shared that there is no case of corona virus in tibet and mongolia but it is not true they havent shut down airline from china to tibet and mongolia [SEP] how did beijing manipulated who [SEP] dear who can my institution translate these faqs into indonesian cc [SEP]    [SEP] i think  for the protection of secondary bacterial infection antibiotics should be used because immunsystem can not work well during coronavirus infection [SEP] 5g weakens the immune system wuhan china is the test site for a new 5g highway system with driverless cars its one of the largest 5g test sites with 10000 5g base stations many predicted a risk of viral or bacterial outbreaks in such highdensity emf coronavirus stop5g [SEP] wearing masks [SEP] i wouldnt say a handshake is that unsafe  who in their right mind would touch food or mucosa with dirty hands does it spread via skin lesions though  now thats the question [SEP] i wonder where the contagious bodily fluid from the infected person has to go for the healthy recipient to be at risk  does it have to be mucosa [SEP] would be nice if someone figured out the full list of the contagious bodily fluids though shouldnt be that hard just test fluids from patients in australia or uk and also about that duration of virus survival on surfaces [SEP] i signed and donated  does not give a crap about the 8 billion people on the planet [SEP] how do you know i had that thought because of the handshake transmission but havent seen any confirmation anywhere yet [SEP] fomites  ncov2019 has been found in feces now and so many people do not wash their hands andor dont have availability to hot running water soap and a clean towel [SEP] they can find a lot of videos in the past and say that they are all happening in wuhan now [SEP] how could you not including taiwan  [SEP] what a frightening scenario [SEP] new coronavirus guidance [SEP] there have been a few public statements including sitrep 12 that the current asymptomatic cases are being reinvestigated 1 is this true 2 may i request an annex 2 of the info and current known evidence and likelihood [SEP] is it possible to create more interferons in large scale  interferons can act against virus [SEP] el enlace no funciona [SEP] is there any one that was infected with coronavirus that were cured and send home  [SEP] if this coronavirus havent any vaccine then how  can a victim totally recovered only treating the symptoms like flue fever etc it means the virus remains as it is only its damages recovered [SEP] you should ask china how many bodies theyve cremated unreported deaths [SEP] because theres different strains of corona virussars mers etc just like many strains of the flu swinebird h1n1 type a type b etc [SEP] eating meat is sinful god ordered to living beings to vegetarians  saint rampal ji maharaj મસ ખવ પપ છ જન પરભ સજ આપ છ જ કરન વઇરસ ન રપ છ nomeat_nocoronavirus [SEP] remember how the gop dealt with zika not an encouraging preview of how theyd deal with coronavirus as i noted here [SEP] why are you not stopping all flights to uk [SEP] better tell us about the actual r0 and why there are traces of rnagene insertions in 2019ncov rna [SEP] q is tedros and xijing ping making wrong decision and spread the wuhancoronovirus to the world a yes who is not protecting the public health but acting as propaganda of china [SEP]  coronavirus update deaths  china 81 confirmed cases  china 2700  us 5 australia 5  france 3 nepal 1  japan 4  singapore 4  south korea 4  taiwan 5  thailand 8  vietnam 2  malaysia 4  cambodia 1 source voa afp [SEP] it is very clear your lock down protocols have failed once again as yet another novel virus is spreading world wide once again you are reactive instead of proactive get better or step aside for someone who is better  has failed [SEP] virus doesnt make people die suddenly what makes people die suddenly is myocardial infarction and other disease videos are just bullshit [SEP] what are china and other countries with coronavirus deaths doing with corpses after all they can not be buried in the ground i have not found information about this anywhere [SEP] hervir 8 min cáscara de naranja es un paliativo de cualquier resfrio [SEP] q what is the aim of who nowadays a to make mr shithole happy q who is who serving target a ccp q what does who stand for a wuhan health organization or winnie happy organization [SEP] how much money did the who take from china prez while the coronavirus was infecting people last year in november [SEP] antibiotics can be helpful if there is secondary bacterial infection but only the doctor can decide which drug is to be administered otherwise they can create bacterial resistance that is dangerous for you and other patients regards [SEP] how about those patiences that had been recover cant we study their mechanism of defence against those virus their white blood  [SEP] why are you not including taiwan  [SEP] 54 recovered cases [SEP] gobernación divina la única esperanza de toda la humanidad jehová dios el creador no va a dejar que la raza humana sea borrada de la tierra ni virus ni bombas nucleares ni por el hombre ni por sus fuerzas de ejecución   [SEP] literally none of this is reassuring thanks [SEP] can antiviral meds work or flu shots help [SEP] i dare them to reply this question that was on point [SEP] que pensez vous de ça  [SEP] how effective is chinese money in not declaring an epidemic  [SEP] the number one way to prvent the spread of a virus is to lockdown tge hotzone why are we being told that flights are stopped yet flight tracker says there are many flights coming and going to wuhan event 201 [SEP] today i saw god sitting inside sunhe was keep on transforming in to allah amp shiv every 2 secthree form god allah amp shiv every 2 sec could you please watch yourselves and confirm whether my mind has gone out of order so that i can visit any psychiatric hospital [SEP] to red cross amp sverige church palestinians refugees demonstration  tent in   didnt contain anyone infected by  so we missing  you as humanity amp neutral organisation do not worry coronavirus is inhumanity amp unjustified  decisions made by [SEP] hello mr tedros   he and the top who collaborators need to resign and apologize to the community immediately for their professional weakness  the whole world is facing the disaster of the disaster of coronavirut wuhan your organization has seemed useless before this disaster [SEP] sos 救救武汉市民我母亲感染武汉肺炎 医院隐瞒病情 在家高烧卧床12天我家位于武汉市硚口区韩家墩新华社区 共产党指派的社区中心周主任132xx7786说无法安排病床 建议在家等死我爸亦被传染还得照顾我妈精神已经崩溃他们无药物无食品无医疗请救救他们吧 [SEP] who is a political organization  quit pretending to be concerned with world health what a joke [SEP] taiwan should be included in who taiwan has advanced medical tech and standards  we got the who info in the first time we help the world sooner   chinas lie amp bully may be a tragedy of the world  [SEP] taiwan is taiwan taiwan isnt part of people of chinapoc [SEP] i have not taken any flu jab over 67 years i am born in 1968 had a asthma attack in 1969 then in 1978 in fact i died in mums arms running to st thomas yet all i do is work out and all that i have mentioned in what i do with the fruit and vegetables in boiling or eating them raw [SEP] 5g sollte verboten werden  [SEP] call the world wide emergency before its to late [SEP] robert humans conjured smallpox polio etc and we also lived through black death multiple times so i dont think we should worry the most ever [SEP] colloidal silver [SEP] inane questions are the only questions who answers clearly to except to wall street [SEP] whos own criteria would have this at human to human stage 4  shhhhh dont ask basic fact based and informative useful questions  as if who is here for your well being  silly humans [SEP] ,nonrumour
[CLS] why do we need it willing to finance it we have better opportunties because we embrace upward social mobility for the successful while other placesnot so much [SEP] america 20  better healthcare better education no money in politics gun control better policing broadband for all affordable nationwide public transit thats a start [SEP] and just to add on many americans live in rural areas public transit you gonna run buses 30 and 40 miles outside of city limits lmao [SEP] why do people want to make the us into europe when europeans come here to live if the standard of living were vastly superior wouldnt they stay where the were [SEP] ,nonrumour
invalid,nonrumour
[CLS] isis [SEP] shutup ging [SEP] yismach [SEP] ,nonrumour
invalid,nonrumour
[CLS] scene at ottawa war memorial soldier on duty shot [SEP] who does that how mentally ill do you have to be seriously  hope the soldier pulls through [SEP] live update from parliament  scene at ottawa war memorial soldier on duty shot [SEP] gunman was spotted running toward the centre block on parliamenthill where he was shot [SEP] prayers for our soldier we have no updates as to his status thoughts and prayers for safely [SEP] ,nonrumour
[CLS] at least 12 dead in the paris shooting updated story and background info  charliehebdo [SEP] awful rt  at least 12 dead in the paris shooting  charliehebdo [SEP]  at least 12 dead in the paris shooting  charliehebdo  世の中怖いすぎる [SEP] rip some actions are beyond comprehension sadly the dead most likely had nothing to do with the anger amp twisted mind of the gunmen [SEP] history shows disproportionate share of major religions starting in middle east that indicates people with no sense of humorstay out [SEP] i just feel sick rt at least 12 dead in paris shooting updated story  charliehebdo [SEP] our prayers goes out to good people of france at this moment  violence hatred amp injustice have no place on our world [SEP] ,nonrumour
[CLS]  rip to the driver who died with paul walker that no one cares about because he wasnt famous [SEP]  rip to the driver who died with paul walker that no one cares about because he wasnt famous [SEP] nagcacare naman siguro yung pamilya niya  [SEP] ,nonrumour
[CLS] the scene at the war memorial in ottawa [SEP] fuck [SEP] pull together for fallen soldier  the scene at the war memorial in ottawa [SEP] awesome tweet [SEP] that photo deserves the front page [SEP] praying for you [SEP]  the scene at the war memorial in ottawa   a shame [SEP] ,nonrumour
[CLS] im not a medical professional but i would want to share i little i have learnt about coronavirus and covid19 what is a coronavirus a coronavirus is a virus that is found in animals and rarely can be transmitted from animals to humans and then spread person to person [SEP] there are 3 currently identified coronaviruses 1the mers virus or middle east respiratory syndrome 2 the sars virus or severe acute respiratory syndrome which first occurred in the guangdong province in southern china 3 the covid19 or the wuhancoronovirus [SEP] covid19 symptoms range from mild to severe it takes 214 days after exposure for symptoms to develop symptoms may include 1fever  anyone with a measured temperature of at least 1004 f 38 c  2 cough 3 shortness of breath [SEP] there is currently no vaccine or treatment for covid19 symptoms of a coronavirus usually go away on their own if symptoms feel worse than a common cold contact your doctor to prescribe pain or fever medication as with a cold or the flu drink fluids and get plenty of rest [SEP] ,nonrumour
[CLS] obama daughter is not pregnant now when obama get the internet shut down on some olivia type time we all gonna be sick [SEP]  obama daughter is not pregnant now when obama get the internet shut down on some olivia type time we all gonna be sick [SEP]  obama daughter is not pregnant now when obama get the internet shut down on some olivia type time we all gonna be sick [SEP]  obama daughter is not pregnant now when obama get the internet shut down on some olivia type time we all gonna be sick [SEP] ,rumour
[CLS] just your monday reminder that doritosflavored mountain dew exists [SEP]   just your monday reminder that doritosflavored mountain dew exists [SEP] you guys realize what the color reminds us of [SEP] oh thats just wrong why oh why [SEP] yes please lol [SEP]  just your monday reminder that doritosflavored mountain dew exists   dontthinkso [SEP] the guys at  already made their own version [SEP]  just your monday reminder that doritosflavored mountain dew exists [SEP] not entirely sure how i feel about that [SEP] this is scary rt  just your monday reminder that doritosflavored mountain dew exists [SEP] wow  dewitos  do you get the health benefit of both  [SEP] looks like a tour de france random drug test for the peloton [SEP]  just your monday reminder that doritosflavored mountain dew exists    [SEP] this just sounds disgusting  just your monday reminder that doritosflavored mountain dew exists [SEP]  just your monday reminder that doritosflavored mountain dew exists   funny [SEP] still no  just your monday reminder that doritosflavored mountain dew exists [SEP]  just your monday reminder that doritosflavored mountain dew exists   omg [SEP] sounds gross to me [SEP] no no no no no no no that is just wrong [SEP]  just your monday reminder that doritosflavored mountain dew exists [SEP]  just your monday reminder that doritosflavored mountain dew exists [SEP]  just your monday reminder that doritosflavored mountain dew exists   ewww [SEP] actually gagged [SEP] we did this to ourselves [SEP] this is just wrong [SEP] usa usa  just your monday reminder that doritosflavored mountain dew exists [SEP] whole lot of nooooooooooooooooooo [SEP] please stop reminding me [SEP]  just your monday reminder that doritosflavored mountain dew exists   dewd [SEP]  wow so i can get evil chemicals and diabetes all at once yay [SEP] would you drink this  just a reminder that doritosflavored mountain dew exists [SEP]  just your monday reminder that doritosflavored mountain dew exists   revolting [SEP] disgusting  [SEP] ugh just your monday reminder that doritosflavored mountain dew exists   yuck [SEP] i could have paired that with this taco [SEP]  just your monday reminder that doritosflavored mountain dew exists [SEP] eewitos [SEP] hurk  just your monday reminder that doritosflavored mountain dew exists [SEP]  just your monday reminder that doritosflavored mountain dew exists    [SEP] but why pretty sure i could dew without this [SEP]  just your monday reminder that doritosflavored mountain dew exists [SEP] lmao god was like i see you got braces aide here my child but i dont know how i feel about this lol [SEP] not sure its something that really worth being reminded [SEP] i think  said it best ew [SEP] ,nonrumour
[CLS] little correction pmfmdm and hm without him he cant step up in any direction  always remember [SEP] why  [SEP] first  should empty their treasury and then ask aam admi charity begins at home [SEP] good morning priya beta how are you  all well  [SEP] new ways to steal and swindle public money [SEP] private funds get money from private citizens which the govt can then use privately [SEP] sara paisa kha jayenge so many crores pouring in for helpbut all will go in their pockets shame i hope lords of karma and god watching and then taking some action [SEP] to retrieve the sagging image but public is waking up its the beginning of the end  [SEP] a complete sham in itself  a complete scam in itself  they are collecting to topple maharashtra government [SEP] good [SEP] another little scam [SEP] the pm gets away with many things because there are very few individuals who think and question some idiots are even praising the moron for coming up with this idea what can i say [SEP] becouse some stupids will cheer up and tump thier chest with nationalism [SEP] ,nonrumour
[CLS] does the new coronavirus affect older people or are younger people also susceptible  people of all ages can be infected by the new coronavirus 2019ncov who advises people of all ages to take steps to protect themselves from the virus [SEP] there is so much information circulating about the coronavirus so it is important to sort fact from fiction the  offers some great info here [SEP] can spraying alcohol or chlorine all over your body kill the new coronavirus  no [SEP] ,nonrumour
[CLS] steve jobs was adopted his biological father was abdulfattah jandali a syrian muslim [SEP] k [SEP] ,rumour
[CLS] what are the symptoms of covid19 and what should you do if you have them in the latest the science behind the coronavirus  executive chairman of  explains the symptomatic patient    watch [SEP] angelinos listen up many of you were planning to move to lasvegas dont we have very high unemployment the south point hotel just let go the last few of their employees today optimistic estimate for lv recovery is 3 to 5 years dont make an expensive mistake retweet [SEP] there doesnt seem to be much science behind coronavirus at this point in time [SEP] i now have to question what dr soon shiong has to say now that hes decided to appear in rudy guillianis podcast [SEP] ask your girl    you are being racist its ok to gather in chinatown [SEP] ,nonrumour
[CLS] this was so much fun to create take a peek at one of my favorite urban streams  [SEP] when public health permits we hope to some public presentations of project results to  watershed volunteers local watershed groups etc well also have professional conference presentations and journal articles let me know if you are local [SEP] ,nonrumour
[CLS] how does covid19 spread  people can catch covid19 from others who have the virus   the disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with covid19 coughs or exhales [SEP]  these droplets land on objects and surfaces around the person   other people then catch covid19 by touching these objects or surfaces then touching their eyes nose or mouth   people can also catch covid19 if they breathe in droplets from a person with covid19 who [SEP] coughs out or exhales droplets this is why it is important to stay more than 1 meter 3 feet away from a person who is sick who is assessing ongoing research on the ways covid19 is spread and will continue to share updated findings [SEP] can the virus that causes covid19 be transmitted through the air studies to date suggest that the virus that causes covid19 is mainly transmitted through contact with respiratory droplets rather than through the air [SEP] can covid19 be caught from a person who has no symptoms the main way the disease spreads is through respiratory droplets expelled by someone who is coughing the risk of catching covid19 from someone with no symptoms at all is very low [SEP] however many people with covid19 experience only mild symptoms this is particularly true at the early stages of the disease it is therefore possible to catch covid19 from someone who has for example just a mild cough and does not feel ill   whowhatsapp [SEP] ,nonrumour
[CLS] no thats a sculpture done by 2 professional artist from china [SEP] keepitplaya 4 meekvsdrake [SEP] they need to stopit [SEP] ,rumour
[CLS] how can we realistically expect a vaccine for covid19 when we have a govt in power lacking ability accountability integrity and honor installed to deliver a fraudulent brexit result won on lies [SEP] vaccine will comebut obviously not from our govtwill come from a country that gives a damn [SEP] 16 years on we still have no vaccine for sars a respiratory flu reportedly with similar symptoms as covid it will indeed be a christmas miracle if a vaccine for covid magically appears soon [SEP] its not the full story vaccines are only found when  it looks like there will be a financial rewarded at the end of the process it the disease recedes all attempts at a vaccine get stopped it doesn mean a vaccine could not be found they just stop looking [SEP] i realistically expect a placebo to be pushed as a vaccine [SEP] i have been thinking about this vaccine thing if its developed in the uk  how long will it take big companies to take it over and charge a fortune for it half the elite tories and cohorts will be rubbing their hands because they probably have invested in it [SEP] dictatorship  [SEP] i have no doubt that they will come up with a miracle vaccine or in tory circles known by its true name of placebo just to get more of us out full of confidence that we are immune spreading the virus to our vulnerable and elderly i really would not be surprised by this [SEP] ,nonrumour
[CLS] there is no cure for covid19 coronavius myths from  are there any specific medicines to prevent or treat the new coronavirus to date there is no specific medicine recommended to prevent or treat the new coronavirus 2019ncov [SEP] this is a great point ventilators are for breathing but do nothing to heal the virus and yet the questions from media are often about cities having enough ventilators and yet they downplay the cure thats out there our msm is total crap except for [SEP] the who is a highly suspect source of information i would not believe anything they say because they provided incorrect information from the beginning theres no cure for cancer either  it doesnt mean that you dont try to treat it lousy argument on your part [SEP] ,nonrumour
[CLS] just had an encounter with the most ignorant customer smh this woman comes up and says we shouldnt be wearing masks its bad for your lungs  she continues saying covid19 is just like the flu and the deaths didnt have anything to do with corona  [SEP] but they were simply sick in the first place i have lost faith in humanity [SEP] ,rumour
[CLS]  and trump did  [SEP] ,nonrumour
[CLS] q are there any specific medicines to prevent or treat the new coronavirus a to date there is no specific medicine recommended to prevent or treat the virus  is helping to accelerate research and development efforts with a range of partners [SEP] q are antibiotics  effective in preventing and treating the new coronavirus a no antibiotics do not work against viruses only bacteria the 2019nc0v is a virus and therefore antibiotics should not be used as a means of prevention or treatment [SEP] it would have been really great if all the top pharma companies round the globe teams up to come up with a vaccine coronavirus   medicalinnovations  publichealthemergency [SEP] ,nonrumour
[CLS] you need to also consider that may are not tested due to widespread test shortage and the 80 accuracy of the results the me is the one that lists cause of death on the death cert and they are about 8 weeks behind the numbers are certainly much higher than can be reported [SEP] if you cannot test accurately you cannot get derive any numbers with accuracy that are predicated on positive results the numbers are high and even now the majority of people are distancing death count is not very important long term health problems are very important [SEP] btw  we are not testing for asymptomatic we do not have enough test except for the serious suspects and those awaiting surgeriesprocedures [SEP] you dont die from any virus you die from problems that resulted from contracting the virus and effects on the systems of the body example acute myocarditis you dont die from a motor vehicle accident  you die from the result of the mva example hypovolemic shock [SEP] ,nonrumour
[CLS] oregon police officers step in and make delivery after pizza hut driver gets injured in a car crash  odd [SEP] you think the same thing would happen if that had been a box of doughnuts [SEP]  oregon police officers step in make delivery after pizza driver gets in a car crash teens horrified when answering door [SEP]  oregon police officers step in and make delivery after pizza hut driver gets injured in a car crash   [SEP] yep mt  oregon police officers make delivery after pizza hut driver gets injured in a car crash [SEP] how we do in oregon [SEP] ,nonrumour
[CLS] black islamic flag being held up in window of lindt chocolate store in martin place sydney  hostages inside [SEP] yes islamic flag black a traditional colour of islam and i presume a koranic verse also [SEP] but its such a peaceful religion s [SEP] so we still not sure of the motivation for the attack [SEP] ,nonrumour
invalid,nonrumour
[CLS] basic faqs what is a novel coronavirus from the cdc a novel coronavirus is a new coronavirus that has not been previously identified the virus causing coronavirus disease 2019 covid19 is not the same as the coronaviruses [SEP] that commonly circulate among humans and cause mild illness like the common cold [SEP] ,nonrumour
[CLS] 7 how effective are thermal scanners in detecting people infected with the new coronavirus [SEP] the facts about coronavirus disease covid19 that you need to know source who 2020 1 covid19 virus can be transmitted in areas with hot and humid climates [SEP] 8 can spraying alcohol or chlorine all over your body kill the new coronavirus [SEP] 9 do vaccines against pneumonia protect you against the new coronavirus [SEP] 10 can regularly rinsing your nose with saline help prevent infection with the new coronavirus [SEP] 11 can eating garlic help prevent infection with the new coronavirus [SEP] 12 does the new coronavirus affect older people or are younger people also susceptible [SEP] 13 are antibiotics effective in preventing and treating the new coronavirus [SEP] 14 are there any specific medicines to prevent or treat the new coronavirus [SEP] temanteman aku menemukan bahan bacaan yang bagus banget di websitenya who tolong sempatkan membaca ya  [SEP] ,nonrumour
invalid,nonrumour
[CLS] according to seven this is a picture of the gunman [SEP] theres 2 of them though [SEP] exactly what i was thinking [SEP] what is wrong with you [SEP] you are a danger to the rest of society stop posting pics without any verification amp creating panic [SEP] its called dunningkruger effect [SEP] yeah murdoch witch shut up and watch the blinking lights youre not a journo so dont journalise [SEP] dad [SEP] im not watching it but it sounds as if it is being treated as sport [SEP] sure hope its not just some dude and that youve not just pulled a fairfax beginning to see why you were sent back to uni [SEP] who do you think youre informing [SEP]  police have asked all on social media to desist publishing anything fhs [SEP] looks like a bikie [SEP]  your stupidity is beyond belief just stop if you are capable of that [SEP] stupid media learnt nothing from boston [SEP] put a bullet in the wankers head [SEP] ,nonrumour
[CLS] can eating garlic help prevent infection with the new coronavirus [SEP] can spraying alcohol or chlorine all over your body kill the new coronavirus [SEP] can regularly rinsing your nose with saline help prevent infection with the new coronavirus [SEP] does putting on sesame oil block the new coronavirus from entering the body [SEP] does the new coronavirus affect older people or are younger people also susceptible [SEP] are antibiotics effective in preventing and treating the new coronavirus [SEP] are there any specific medicines to prevent or treat the new coronavirus [SEP] ,nonrumour
invalid,nonrumour
[CLS] end of one goes into 1 part of the house while the other end goes towards the other its a sign of where all our money is [SEP] lovewins [SEP] tweet about this one more time i swear [SEP] what ever i dont worry i dont live their [SEP] ,nonrumour
[CLS] riphulkhogan my heart is ripping like your shirt wwell miss you [SEP] thanks brother hh [SEP] hoax [SEP]  i have fond memories of being able to stay up late just so i could watch hulk on the aarons rentacenter commercials [SEP]  riphulkhogan my heart is ripping like your shirt wwell miss you he isnt dead its a complete hoax [SEP]  riphulkhogan my heart is ripping like your shirt wwell miss you oh my god [SEP] not dead [SEP]  riphulkhogan my heart is ripping like your shirt wwell miss you [SEP]  riphulkhogan my heart is ripping like your shirt wwell miss you [SEP] ,rumour
